evidence_id,source_id,source_type,source_name,article,paragraph,page,section,original_text,applies_to,data_type,condition,required_action,prohibition,exception,effective_date,source_url,retrieved_at,review_status,validation_errors
EV-00037,fsc_ai_guideline_2026,guide_pdf,금융분야 인공지능 가이드라인,,,20,2.1 법적 요구사항 검토,"외부에서위탁·제공되는인공지능시스템의일부또는전부를활용하는경우에도적용되는법령의준수여부를금융회사등이직접확인하고, 이를내규에반영하는절차를수립한다.",금융회사등,인공지능시스템,외부에서 위탁·제공되는 인공지능시스템의 일부 또는 전부를 활용하는 경우,"적용되는 법령의 준수여부를 금융회사등이 직접 확인하고, 이를 내규에 반영하는 절차를 수립한다",,,2026-06-22,https://www.fsc.go.kr/no010101/87142,2026-08-26T12:31:32+09:00,PENDING,
EV-00038,fsc_ai_guideline_2026,guide_pdf,금융분야 인공지능 가이드라인,,,88,망분리 대체 정보보호통제(보안 목적 AIㆍSaaS),"✓ 개인신용정보, 고유식별정보 등 중요정보 입력ㆍ처리ㆍ외부전송ㆍ유출 여부 모니터링 및 통제",금융회사등,"개인신용정보, 고유식별정보 등 중요정보",보안 목적 AIㆍSaaS,"개인신용정보, 고유식별정보 등 중요정보 입력ㆍ처리ㆍ외부전송ㆍ유출 여부 모니터링 및 통제",,,2026-06-22,https://www.fsc.go.kr/no010101/87142,2026-08-26T12:31:32+09:00,PENDING,
EV-00039,fsc_ai_guideline_2026,guide_pdf,금융분야 인공지능 가이드라인,,,88,망분리 대체 정보보호통제(보안 목적 AIㆍSaaS),"✓ 접속ㆍ이용 내역, 관리자 활동, 이상행위 등에 대한 모니터링 및 로그 수집(1년 이상 보존)",금융회사등,AIㆍSaaS,보안 목적 AIㆍSaaS,"접속ㆍ이용 내역, 관리자 활동, 이상행위 등에 대한 모니터링 및 로그 수집(1년 이상 보존)",,,2026-06-22,https://www.fsc.go.kr/no010101/87142,2026-08-26T12:31:32+09:00,PENDING,
EV-00040,fsc_ai_guideline_2026,guide_pdf,금융분야 인공지능 가이드라인,,,89,7. 보안성 원칙 점검 항목,⑦ 입출력 데이터에서 목적 외 고유식별정보 및 개인(신용)정보 포함 여부를 탐지하고 마스킹 또는 차단하는 기능을 구현했는가?,,고유식별정보 및 개인(신용)정보,입출력 데이터에서 목적 외 고유식별정보 및 개인(신용)정보 포함 여부,목적 외 고유식별정보 및 개인(신용)정보 포함 여부를 탐지하고 마스킹 또는 차단하는 기능을 구현,,,2026-06-22,https://www.fsc.go.kr/no010101/87142,2026-08-26T12:31:32+09:00,PENDING,
EV-00041,fsc_ai_guideline_2026,guide_pdf,금융분야 인공지능 가이드라인,,,91,7. 보안성 원칙 점검 항목,㉖ 클라우드 기반 인공지능서비스나 상용 생성형 인공지능서비스 이용 시 데이터의 국외 이전 가능성을 확인했는가?,,데이터,클라우드 기반 인공지능서비스나 상용 생성형 인공지능서비스 이용 시,데이터의 국외 이전 가능성을 확인,,,2026-06-22,https://www.fsc.go.kr/no010101/87142,2026-08-26T12:31:32+09:00,PENDING,
EV-00042,fsc_ai_guideline_2026,guide_pdf,금융분야 인공지능 가이드라인,,,91,7. 보안성 원칙 점검 항목,㉗ 외부 인공지능서비스 이용 시 모델 개선 목적의 데이터 재사용을 금하도록 사전에 확인하고 계약서 등에 명시했는가?,,데이터,외부 인공지능서비스 이용 시,모델 개선 목적의 데이터 재사용을 금하도록 사전에 확인하고 계약서 등에 명시,모델 개선 목적의 데이터 재사용을 금하도록,,2026-06-22,https://www.fsc.go.kr/no010101/87142,2026-08-26T12:31:32+09:00,PENDING,
EV-00043,fsc_saas_cloud_2026,guide_pdf,4월 20일부터 금융회사는 내부 업무망에서 클라우드 기반 응용소프트웨어(SaaS)를 보다 원활하게 활용할 수 있습니다.,,,1,개요,금융회사와 전자금융업자는 4.20일부터 별도의 혁신금융서비스 심사를 거치지 않더라도 클라우드 기반의 다양한 사무관리･업무지원용 등의 서비스를 활용할 수 있게 된다.,금융회사와 전자금융업자,클라우드 기반의 다양한 사무관리･업무지원용 등의 서비스,4.20일부터 별도의 혁신금융서비스 심사를 거치지 않더라도,,,,2026-04-20,https://www.fsc.go.kr/no010101/86745?srchKey=sj,2026-08-26T12:31:32+09:00,PENDING,
EV-00044,fsc_saas_cloud_2026,guide_pdf,4월 20일부터 금융회사는 내부 업무망에서 클라우드 기반 응용소프트웨어(SaaS)를 보다 원활하게 활용할 수 있습니다.,,,2,개정 주요내용,"다만, 개인정보 유출사고 우려 등을 감안하여, 금융회사가 이용자의 고유식별정보 또는 개인신용정보를 처리하는 경우에는 망분리 예외를 허용하지 않으며, 가명정보를 활용하는 경우에는 기존과 동일하게 별도의 혁신금융서비스 지정 절차를 거친 후 SaaS 활용이 가능하다.",금융회사,"고유식별정보 또는 개인신용정보, 가명정보",이용자의 고유식별정보 또는 개인신용정보를 처리하는 경우,,망분리 예외를 허용하지 않으며,가명정보를 활용하는 경우에는 기존과 동일하게 별도의 혁신금융서비스 지정 절차를 거친 후 SaaS 활용이 가능하다,2026-04-20,https://www.fsc.go.kr/no010101/86745?srchKey=sj,2026-08-26T12:31:32+09:00,PENDING,
EV-00045,fsc_saas_cloud_2026,guide_pdf,4월 20일부터 금융회사는 내부 업무망에서 클라우드 기반 응용소프트웨어(SaaS)를 보다 원활하게 활용할 수 있습니다.,,,2,정보보호 통제를 위한 제도적 장치 마련,"금융회사는 ▲침해사고 대응기관(금융보안원 등) 평가를 거친 SaaS를 이용, ▲접속 단말기(컴퓨터, 모바일단말 등)에 대해 보호대책 수립 등을 준수하여야 하며 동 정보보호통제 이행 여부를 반기에 1회 평가하고 금융사 내 정보보호위원회(위원장:CISO)에 보고하여야 한다.",금융회사,"SaaS, 접속 단말기",망분리 규제 예외,"침해사고 대응기관(금융보안원 등) 평가를 거친 SaaS를 이용, 접속 단말기(컴퓨터, 모바일단말 등)에 대해 보호대책 수립 등을 준수하여야 하며 동 정보보호통제 이행 여부를 반기에 1회 평가하고 금융사 내 정보보호위원회(위원장:CISO)에 보고하여야 한다",,,2026-04-20,https://www.fsc.go.kr/no010101/86745?srchKey=sj,2026-08-26T12:31:32+09:00,PENDING,
EV-00046,fsc_saas_cloud_2026,guide_pdf,4월 20일부터 금융회사는 내부 업무망에서 클라우드 기반 응용소프트웨어(SaaS)를 보다 원활하게 활용할 수 있습니다.,,,5,전자금융감독규정 시행세칙 개정(안),이용자의 고유식별정보 또는개인신용정보를 처리하지 않는「클라우드컴퓨팅 발전 및 이용자 보호에 관한 법률 시행령」제3조제2호에 따른 “응용프로그램 등 소프트웨어를 제공하는 서비스”이용 목적의 경우,금융회사 또는 전자금융업자,"고유식별정보 또는 개인신용정보, SaaS",이용자의 고유식별정보 또는 개인신용정보를 처리하지 않는 응용프로그램 등 소프트웨어를 제공하는 서비스 이용 목적의 경우,,,,2026-04-20,https://www.fsc.go.kr/no010101/86745?srchKey=sj,2026-08-26T12:31:32+09:00,PENDING,
EV-00047,fsc_saas_cloud_2026,guide_pdf,4월 20일부터 금융회사는 내부 업무망에서 클라우드 기반 응용소프트웨어(SaaS)를 보다 원활하게 활용할 수 있습니다.,,,6,시행세칙 별표7 망분리 대체 정보보호통제,"ㅇ접속 단말기 및 사용자 등록·관리,안전한 인증 방식*적용,최소 권한 부여 등 접근 제어 및 권한 관리 *SaaS관리자 계정 등 중요계정에 대한 다중 인증 적용(예 :ID/PW+OTP)",,SaaS관리자 계정 등 중요계정,내부업무망 SaaS,"접속 단말기 및 사용자 등록·관리, 안전한 인증 방식 적용, 최소 권한 부여 등 접근 제어 및 권한 관리; SaaS관리자 계정 등 중요계정에 대한 다중 인증 적용",,,2026-04-20,https://www.fsc.go.kr/no010101/86745?srchKey=sj,2026-08-26T12:31:32+09:00,PENDING,
EV-00048,fsc_saas_cloud_2026,guide_pdf,4월 20일부터 금융회사는 내부 업무망에서 클라우드 기반 응용소프트웨어(SaaS)를 보다 원활하게 활용할 수 있습니다.,,,6,시행세칙 별표7 망분리 대체 정보보호통제,ㅇSaaS이용을 위한 네트워크 구간에 대한 보호대책(암호화 등)수립·적용,,SaaS,SaaS이용을 위한 네트워크 구간,네트워크 구간에 대한 보호대책(암호화 등)수립·적용,,,2026-04-20,https://www.fsc.go.kr/no010101/86745?srchKey=sj,2026-08-26T12:31:32+09:00,PENDING,
EV-00049,fsc_saas_cloud_2026,guide_pdf,4월 20일부터 금융회사는 내부 업무망에서 클라우드 기반 응용소프트웨어(SaaS)를 보다 원활하게 활용할 수 있습니다.,,,6,시행세칙 별표7 망분리 대체 정보보호통제,ㅇ접속·이용시 모니터링 및 로그 수집,,SaaS,접속·이용시,모니터링 및 로그 수집,,,2026-04-20,https://www.fsc.go.kr/no010101/86745?srchKey=sj,2026-08-26T12:31:32+09:00,PENDING,
