transfer_id,originator_address,beneficiary_address,originator_identity,beneficiary_identity,kyc_status,counterparty_vasp_status,approved_asset,approved_amount_limit_eth,approved_destination,approved_period_start,approved_period_end,requested_asset,requested_amount_eth,requested_destination,requested_at,transaction_identifier,tx_hash,execution_status,ethereum_block_number,ethereum_transaction_index,baseline_policy_decision
DA-V3-00011,0xf26f397fef9f338b7502c6fc42aa18ebd1af756d,0xc10fc8fa761285fa3fa25aafcc10a54456ee8919,VASPCUST-S-0010,VASPCUST-B-0010,VERIFIED,VERIFIED,ETH,0.05,0xc10fc8fa761285fa3fa25aafcc10a54456ee8919,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.001981160589232028,0xc10fc8fa761285fa3fa25aafcc10a54456ee8919,2026-09-07T00:11:47+00:00,0x9fccd6758694b75934216b0f18664303f998a1008d80d3ac92b1f4217aca7795,0x9fccd6758694b75934216b0f18664303f998a1008d80d3ac92b1f4217aca7795,UNKNOWN_STATUS_NOT_EXTRACTED,25921762,210,PASS
DA-V3-00012,0xd0817b529fce4f23df248d08f396ac147ebec5af,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,VASPCUST-S-0011,VASPCUST-B-0011,VERIFIED,UNKNOWN,ETH,0.25,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.004620423302158944,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,2026-09-07T00:12:47+00:00,0x5079e3c920eec2e171340d5bd1f1f5bd8273b3d83a082805b592502951847def,0x5079e3c920eec2e171340d5bd1f1f5bd8273b3d83a082805b592502951847def,UNKNOWN_STATUS_NOT_EXTRACTED,25921762,253,REVIEW
DA-V3-00013,0x755f05491285ac10710daac05de86ae5f8ba3c9c,0x26d3681dfc9e4c8c79cfbf461adec8a21d5d73c5,VASPCUST-S-0012,VASPCUST-B-0012,VERIFIED,VERIFIED,ETH,1.0,0x26d3681dfc9e4c8c79cfbf461adec8a21d5d73c5,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.02312224,0x26d3681dfc9e4c8c79cfbf461adec8a21d5d73c5,2026-09-07T00:13:47+00:00,0xc60c3ba2152404f125dd13e2926a1295c7bad7524f2dbca711b2de79151518a0,0xc60c3ba2152404f125dd13e2926a1295c7bad7524f2dbca711b2de79151518a0,UNKNOWN_STATUS_NOT_EXTRACTED,25921762,296,PASS
DA-V3-00014,0x4337019d937ebcbd73dd750072d86c1ce664b350,0x7bc994c550319eafe43f6a97b3d3e2bf329bc536,VASPCUST-S-0013,VASPCUST-B-0013,VERIFIED,VERIFIED,ETH,5.0,0x7bc994c550319eafe43f6a97b3d3e2bf329bc536,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.006981307814499686,0x7bc994c550319eafe43f6a97b3d3e2bf329bc536,2026-09-07T00:14:47+00:00,0x2938178641fd2d79994b708b5c178334254971fcd64a52f9ce6cc01b58e6c325,0x2938178641fd2d79994b708b5c178334254971fcd64a52f9ce6cc01b58e6c325,UNKNOWN_STATUS_NOT_EXTRACTED,25921762,339,PASS
DA-V3-00015,0xf9bea130a2f82d25dfdfd09f566420c4eb722123,0x278d858f05b94576c1e6f73285886876ff6ef8d2,VASPCUST-S-0014,VASPCUST-B-0014,VERIFIED,VERIFIED,ETH,20.0,0x278d858f05b94576c1e6f73285886876ff6ef8d2,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.009993998637472,0x278d858f05b94576c1e6f73285886876ff6ef8d2,2026-09-07T00:15:47+00:00,0x2273499b8c92116194b5d20aedc4ab94952f7ece89a8d5d89d1b465ee73372c7,0x2273499b8c92116194b5d20aedc4ab94952f7ece89a8d5d89d1b465ee73372c7,UNKNOWN_STATUS_NOT_EXTRACTED,25921761,30,PASS
DA-V3-00016,0x1368487bccee27421c5b4a90a437dbb8e8ea11ce,0xf196f4abac4bdb6122d1361c29eccd4ce17356a4,VASPCUST-S-0015,VASPCUST-B-0015,VERIFIED,VERIFIED,ETH,0.05,0xf196f4abac4bdb6122d1361c29eccd4ce17356a4,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,4.0,0xf196f4abac4bdb6122d1361c29eccd4ce17356a4,2026-09-07T00:16:47+00:00,0xce2f7f7a6b6abcfa5c21d8949671d65cd2a9d59fe17225f04a33f7bd3d7ecf09,0xce2f7f7a6b6abcfa5c21d8949671d65cd2a9d59fe17225f04a33f7bd3d7ecf09,UNKNOWN_STATUS_NOT_EXTRACTED,25921761,73,BLOCK
DA-V3-00017,0xd0fd2869b155698cbdbb311b9893bc7510ae9456,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0016,VASPCUST-B-0016,FAILED,VERIFIED,ETH,0.25,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.09929,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:17:47+00:00,0x3a18346e83a7593f9a41a8f7655c27b8d1064c3179d01e7b01f5e6c426c31e93,0x3a18346e83a7593f9a41a8f7655c27b8d1064c3179d01e7b01f5e6c426c31e93,UNKNOWN_STATUS_NOT_EXTRACTED,25921761,116,REVIEW
DA-V3-00018,0x8c8d7c46219d9205f056f28fee5950ad564d7465,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0017,VASPCUST-B-0017,VERIFIED,VERIFIED,ETH,1.0,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,UNAPPROVED_TOKEN,0.007839606143668474,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:18:47+00:00,0x6ba6b08bb183ce7543229c915346423aec7eddc87552038dc758af5ba4a1443d,0x6ba6b08bb183ce7543229c915346423aec7eddc87552038dc758af5ba4a1443d,UNKNOWN_STATUS_NOT_EXTRACTED,25921761,159,BLOCK
DA-V3-00019,0x2953e0040007cd057446e2222fb84575c6f5d2b1,0x809c0a690763342515373f90866c98e8cdacf99a,VASPCUST-S-0018,VASPCUST-B-0018,VERIFIED,VERIFIED,ETH,5.0,0x809c0a690763342515373f90866c98e8cdacf99a,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,3.1742299606186e-05,0x809c0a690763342515373f90866c98e8cdacf99a,2026-09-07T00:19:47+00:00,0x082b859e7d902dd2b89acb5a0436b7d6a887f04fcf27dec8742bcb97d137bc7d,0x082b859e7d902dd2b89acb5a0436b7d6a887f04fcf27dec8742bcb97d137bc7d,UNKNOWN_STATUS_NOT_EXTRACTED,25921761,202,PASS
DA-V3-00020,0xced372d2dc756fdedf12b8b6bf4efa794af917a7,0xec2c96e75b09e29b66bf2ee5c37fa749ef9aa7c7,VASPCUST-S-0019,VASPCUST-B-0019,VERIFIED,VERIFIED,ETH,20.0,0xec2c96e75b09e29b66bf2ee5c37fa749ef9aa7c7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1.123122e-05,0x000000000000000000000000000000000000dEaD,2026-09-07T00:20:35+00:00,0x20c23b723dd361a4f57a713b00f138b9bf6a646893429cdfa1e65119209080ad,0x20c23b723dd361a4f57a713b00f138b9bf6a646893429cdfa1e65119209080ad,UNKNOWN_STATUS_NOT_EXTRACTED,25921761,245,BLOCK
DA-V3-00021,0x790ff44266b1900a4ae03d3c0fe9697e04be917e,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,VASPCUST-S-0020,VASPCUST-B-0020,VERIFIED,VERIFIED,ETH,0.05,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.0219517514655503,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,2026-09-07T00:21:35+00:00,0x703907b68ee228fffbc6c89ebb72ea8e26643e56745a0405aedb03ff168499b4,0x703907b68ee228fffbc6c89ebb72ea8e26643e56745a0405aedb03ff168499b4,UNKNOWN_STATUS_NOT_EXTRACTED,25921761,288,PASS
DA-V3-00022,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x4e81ab563a1f22e5964e51c0c29089c93135c01a,VASPCUST-S-0021,VASPCUST-B-0021,VERIFIED,VERIFIED,ETH,0.25,0x4e81ab563a1f22e5964e51c0c29089c93135c01a,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.01236113,0x4e81ab563a1f22e5964e51c0c29089c93135c01a,2026-09-07T00:22:35+00:00,0x3c3446075ef2b4e3c25fa3eff041b5416e6351ad1af6a5e078b13f2119cfb496,0x3c3446075ef2b4e3c25fa3eff041b5416e6351ad1af6a5e078b13f2119cfb496,UNKNOWN_STATUS_NOT_EXTRACTED,25921761,331,PASS
DA-V3-00023,0x81a5d0f919b372739a30b53269768aa1f042a59b,0x278d858f05b94576c1e6f73285886876ff6ef8d2,VASPCUST-S-0022,VASPCUST-B-0022,VERIFIED,UNKNOWN,ETH,1.0,0x278d858f05b94576c1e6f73285886876ff6ef8d2,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1e-09,0x278d858f05b94576c1e6f73285886876ff6ef8d2,2026-09-07T00:23:35+00:00,0x0128f7de6c45896e3c8d1f673c7a9920f94531477a1433bb9242f915bd624375,0x0128f7de6c45896e3c8d1f673c7a9920f94531477a1433bb9242f915bd624375,UNKNOWN_STATUS_NOT_EXTRACTED,25921760,24,REVIEW
DA-V3-00024,0xe4e1b0134f92a32f6386c898ad6ca6b076c19e7a,0xf8a7010020a46dad2d346cb4b797c57a00000bda,VASPCUST-S-0023,VASPCUST-B-0023,VERIFIED,VERIFIED,ETH,5.0,0xf8a7010020a46dad2d346cb4b797c57a00000bda,2026-01-01T00:00:00+00:00,2026-01-15T23:59:59+00:00,ETH,0.1180003996,0xf8a7010020a46dad2d346cb4b797c57a00000bda,2026-09-07T00:24:35+00:00,0xea157cb2208ec375332db98e3c498fab0a12c97259b54772bf3cfa395feeb5a5,0xea157cb2208ec375332db98e3c498fab0a12c97259b54772bf3cfa395feeb5a5,UNKNOWN_STATUS_NOT_EXTRACTED,25921760,67,PASS
DA-V3-00025,0x3e10ab3b27129eebf0c06b7f8ed5c47119416977,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0024,VASPCUST-B-0024,PENDING,VERIFIED,ETH,20.0,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.01883137151661375,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:25:35+00:00,0xa81f7beb982b89a7e7b46efaf011778ad2640763ce10e40c6d966fa1beeeb2b2,0xa81f7beb982b89a7e7b46efaf011778ad2640763ce10e40c6d966fa1beeeb2b2,UNKNOWN_STATUS_NOT_EXTRACTED,25921760,110,REVIEW
DA-V3-00026,0xca1ee6abeaa8d61c9d3e73c94d7bdb9fbc114138,0xcf5104d094e3864cfcbda43b82e1cefd26a016eb,VASPCUST-S-0025,VASPCUST-B-0025,VERIFIED,VERIFIED,ETH,0.05,0xcf5104d094e3864cfcbda43b82e1cefd26a016eb,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1.0,0xcf5104d094e3864cfcbda43b82e1cefd26a016eb,2026-09-07T00:26:35+00:00,0x12b6bafe26dbe9dcc6028841564bc21a467be6f5fa0e7d0c4e2225036a2d0e8c,0x12b6bafe26dbe9dcc6028841564bc21a467be6f5fa0e7d0c4e2225036a2d0e8c,UNKNOWN_STATUS_NOT_EXTRACTED,25921760,153,BLOCK
DA-V3-00027,0x1368487bccee27421c5b4a90a437dbb8e8ea11ce,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0026,VASPCUST-B-0026,VERIFIED,VERIFIED,ETH,0.25,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1e-05,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:27:35+00:00,0x40740957338384cf86a7cab0031c90fd14213490cebe516be4d05717b3c19e68,0x40740957338384cf86a7cab0031c90fd14213490cebe516be4d05717b3c19e68,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,30,PASS
DA-V3-00028,0x7e4a50a90eaf94e38ab4facd8dd87bc6aaacc413,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,VASPCUST-S-0027,VASPCUST-B-0027,VERIFIED,VERIFIED,ETH,1.0,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.0374924,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,2026-09-07T00:28:35+00:00,0x29b1091aab98e5c02dfc2d9eb9b0942ecd9eb59fbb959cfad7015fba90386413,0x29b1091aab98e5c02dfc2d9eb9b0942ecd9eb59fbb959cfad7015fba90386413,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,73,PASS
DA-V3-00029,0xe2e20a25cb629b099276aaf0d693a59510bac2a0,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0028,VASPCUST-B-0028,VERIFIED,VERIFIED,ETH,5.0,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.05605462,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:29:35+00:00,0x9305beb3ed37200e1ed1bc7751cc867b572d070fc8cc2cf9a7482e741f88f285,0x9305beb3ed37200e1ed1bc7751cc867b572d070fc8cc2cf9a7482e741f88f285,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,116,PASS
DA-V3-00030,0xa19ecdc8ab051ea27e6b8815aa8adad00898f591,0x4acdaf5429aeef693b8804948d2fd8fd1e64558a,VASPCUST-S-0029,VASPCUST-B-0029,VERIFIED,VERIFIED,ETH,20.0,0x4acdaf5429aeef693b8804948d2fd8fd1e64558a,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.19799571649892161,0x4acdaf5429aeef693b8804948d2fd8fd1e64558a,2026-09-07T00:30:35+00:00,0xfce2c42f20685d112a3b5e7e9aeecb08d8130f966d48591596b98972c89a39f5,0xfce2c42f20685d112a3b5e7e9aeecb08d8130f966d48591596b98972c89a39f5,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,159,PASS
DA-V3-00031,0x6ad6d96f16a8781a5987087abc44eb394f9d4389,0x182858592d31633e3f85138aaf484d3d14c340ea,VASPCUST-S-0030,VASPCUST-B-0030,VERIFIED,VERIFIED,ETH,0.05,0x182858592d31633e3f85138aaf484d3d14c340ea,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,9.623406015e-05,0x182858592d31633e3f85138aaf484d3d14c340ea,2026-09-07T00:31:23+00:00,0x05ded69d031abe0f6a389b8fe9ef81c4f90e9cd9ec1af27ba5be6f0881ff48cb,0x05ded69d031abe0f6a389b8fe9ef81c4f90e9cd9ec1af27ba5be6f0881ff48cb,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,202,PASS
DA-V3-00032,0x91355870a334ffc33e84503327773259e3030366,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,VASPCUST-S-0031,VASPCUST-B-0031,VERIFIED,VERIFIED,ETH,0.25,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.0001,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,2026-09-07T00:32:23+00:00,0x229770a820761da54373597ffa75048c3e35399ffcd47ac238aee438dee8317b,0x229770a820761da54373597ffa75048c3e35399ffcd47ac238aee438dee8317b,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,245,PASS
DA-V3-00033,0x29d1b335d3c4150a37e9387119f504305012d190,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,VASPCUST-S-0032,VASPCUST-B-0032,FAILED,VERIFIED,ETH,1.0,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,7.9380441,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,2026-09-07T00:33:23+00:00,0x5cb09dd7d05a8ef644fcc63ae63c33a55c657fb35d57f387d69c889d7aa059c6,0x5cb09dd7d05a8ef644fcc63ae63c33a55c657fb35d57f387d69c889d7aa059c6,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,288,REVIEW
DA-V3-00034,0x260b364fe0d3d37e6fd3cda0fa50926a06c54cea,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0033,VASPCUST-B-0033,VERIFIED,UNKNOWN,ETH,5.0,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.000110405903659408,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:34:23+00:00,0x7546d3fc4a314392d379381b7f057ecfb8a607d04fbbdf38cdf1cd785f984fe8,0x7546d3fc4a314392d379381b7f057ecfb8a607d04fbbdf38cdf1cd785f984fe8,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,331,REVIEW
DA-V3-00035,0xa9a9a2b0e9c334e22ac6a56234a895eb3135fd06,0xda7afeed01fe625cf15d187a19f94b45f00b8c5f,VASPCUST-S-0034,VASPCUST-B-0034,VERIFIED,VERIFIED,ETH,20.0,0xda7afeed01fe625cf15d187a19f94b45f00b8c5f,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,UNAPPROVED_TOKEN,0.01170403,0xda7afeed01fe625cf15d187a19f94b45f00b8c5f,2026-09-07T00:35:23+00:00,0x00c42ab1438e8d19db2bce6b9ddf4e9cac269e8f8b6a99d4ceb84c471ada4171,0x00c42ab1438e8d19db2bce6b9ddf4e9cac269e8f8b6a99d4ceb84c471ada4171,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,374,BLOCK
DA-V3-00036,0x7440891b7b884c0e4d71cbe7e9a4bd4ff46e8d35,0xdac17f958d2ee523a2206206994597c13d831ec7,VASPCUST-S-0035,VASPCUST-B-0035,VERIFIED,VERIFIED,ETH,0.05,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.116323422417174,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-09-07T00:36:23+00:00,0x8d8dee468708d122a8477fdf1a200755f1eaf47b14009a1efdb70708db2f0948,0x8d8dee468708d122a8477fdf1a200755f1eaf47b14009a1efdb70708db2f0948,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,417,BLOCK
DA-V3-00037,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x0000317bec33af037b5fab2028f52d14658f6a56,VASPCUST-S-0036,VASPCUST-B-0036,VERIFIED,VERIFIED,ETH,0.25,0x0000317bec33af037b5fab2028f52d14658f6a56,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,0.004751275670086252,0x0000317bec33af037b5fab2028f52d14658f6a56,2026-09-07T00:37:11+00:00,0x752807fc066785790947398170fb50e41a2d0910394a717ed499d37e76a38f84,0x752807fc066785790947398170fb50e41a2d0910394a717ed499d37e76a38f84,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,460,PASS
DA-V3-00038,0x90202f9621c71492b75864fac9dd262f66760fef,0x7497756ada7e656ae9f00781af49fc0fd08f8a8a,VASPCUST-S-0037,VASPCUST-B-0037,VERIFIED,VERIFIED,ETH,1.0,0x7497756ada7e656ae9f00781af49fc0fd08f8a8a,2026-01-01T00:00:00+00:00,2026-12-31T23:59:59+00:00,ETH,1.999994912876462,0x7497756ada7e656ae9f00781af49fc0fd08f8a8a,2026-09-07T00:38:11+00:00,0x0e9cf280997cd0049fda01ac9d781cd338a7c0a006f03e5c957836f88d56d206,0x0e9cf280997cd0049fda01ac9d781cd338a7c0a006f03e5c957836f88d56d206,UNKNOWN_STATUS_NOT_EXTRACTED,25921759,503,BLOCK
