rule_id,rule_name,domain,priority,when,evidence_refs,decision,audit
GR-0011,External AI legal and transfer review,AI,203,"{""data_type"": [""인공지능"", ""인공지능시스템"", ""데이터""], ""processing_context"": [""ai_use"", ""third_party_or_outsourcing"", ""cross_border_transfer"", ""saas_cloud_use""], ""destination"": [""external_ai"", ""third_party_or_outsourcing"", ""cross_border_transfer"", ""saas_cloud""], ""conditions"": [""external_ai_use"", ""applicable_law_or_transfer_condition_check_required""]}","[""EV-00035"", ""EV-00036"", ""EV-00037"", ""EV-00041""]","{""action"": ""REVIEW"", ""required_controls"": [""DETECT""], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0012,SaaS and cloud use review,SAAS_CLOUD,204,"{""data_type"": [""클라우드컴퓨팅서비스"", ""SaaS""], ""processing_context"": [""saas_cloud_use"", ""security_control""], ""destination"": [""saas_cloud""], ""conditions"": [""saas_or_cloud_service_use"", ""network_protection_check_required""]}","[""EV-00028"", ""EV-00043"", ""EV-00048""]","{""action"": ""REVIEW"", ""required_controls"": [""ENCRYPT""], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0013,General verified evidence routed to compliance review,PRIVACY,205,"{""data_type"": [""개인정보"", ""정보처리시스템"", ""정보보호시스템""], ""processing_context"": [""security_control"", ""compliance_review""], ""destination"": [], ""conditions"": [""verified_evidence_without_standalone_runtime_decision""]}","[""EV-00013"", ""EV-00016"", ""EV-00030"", ""EV-00031""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0014,Pseudonymized data governance review,PRIVACY,206,"{""data_type"": [""가명정보""], ""processing_context"": [""pseudonymized_data_processing"", ""third_party_or_outsourcing""], ""destination"": [""third_party_or_outsourcing""], ""conditions"": [""pseudonymized_processing_governance_check_required""]}","[""EV-00005"", ""EV-00007"", ""EV-00008""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0015,Credit information data subject request review,PRIVACY,207,"{""data_type"": [""신용정보""], ""processing_context"": [""credit_information_processing""], ""destination"": [], ""conditions"": [""credit_information_data_subject_request_check_required""]}","[""EV-00011"", ""EV-00012""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0016,Outsourcing publication compliance review,PRIVACY,208,"{""data_type"": [""개인정보""], ""processing_context"": [""third_party_or_outsourcing""], ""destination"": [""third_party_or_outsourcing""], ""conditions"": [""outsourcing_publication_check_required""]}","[""EV-00017""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0017,Cross-border transfer legal basis and notice review,PRIVACY,209,"{""data_type"": [""개인정보""], ""processing_context"": [""cross_border_transfer"", ""third_party_or_outsourcing""], ""destination"": [""cross_border_transfer"", ""third_party_or_outsourcing""], ""conditions"": [""cross_border_transfer_legal_basis_check_required"", ""data_subject_notice_check_required""]}","[""EV-00021"", ""EV-00022"", ""EV-00024""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0018,Electronic finance controls requiring human review,PRIVACY,210,"{""data_type"": [""정보처리시스템"", ""운영체제""], ""processing_context"": [""security_control""], ""destination"": [], ""conditions"": [""source_evidence_review_required""]}","[""EV-00025"", ""EV-00027""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0019,SaaS and cloud evidence requiring human review,SAAS_CLOUD,211,"{""data_type"": [""SaaS"", ""클라우드컴퓨팅서비스""], ""processing_context"": [""saas_cloud_use"", ""security_control""], ""destination"": [""saas_cloud""], ""conditions"": [""source_evidence_review_required""]}","[""EV-00029"", ""EV-00044"", ""EV-00045"", ""EV-00046"", ""EV-00047""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0020,Digital asset safeguarding compliance review,DIGITAL_ASSET,212,"{""data_type"": [""이용자의 예치금"", ""예치금""], ""processing_context"": [""digital_asset_activity"", ""asset_safeguarding""], ""destination"": [], ""conditions"": [""digital_asset_safeguarding_compliance_check_required""]}","[""EV-00050"", ""EV-00051"", ""EV-00052""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0021,Digital asset definition evidence requiring human review,DIGITAL_ASSET,213,"{""data_type"": [""가상자산사업자"", ""가상자산거래"", ""가상자산""], ""processing_context"": [""digital_asset_activity"", ""transaction_data""], ""destination"": [], ""conditions"": [""source_evidence_review_required""]}","[""EV-00053"", ""EV-00054"", ""EV-00055""]","{""action"": ""REVIEW"", ""required_controls"": [], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
GR-0022,Digital asset transfer wallet and CDD evidence requiring human review,DIGITAL_ASSET,214,"{""data_type"": [""가상자산주소"", ""가상자산 이전거래"", ""고객 신원"", ""실제소유자 여부"", ""거래 목적""], ""processing_context"": [""digital_asset_activity"", ""transaction_data"", ""wallet_address"", ""customer_due_diligence""], ""destination"": [], ""conditions"": [""source_evidence_review_required"", ""wallet_or_cdd_information_present""]}","[""EV-00056"", ""EV-00057"", ""EV-00058"", ""EV-00059""]","{""action"": ""REVIEW"", ""required_controls"": [""DETECT""], ""transform_required"": false, ""human_review_required"": true}","{""log_required"": true, ""evidence_trace_required"": true}"
