evidence_id,previous_status,source_accessed,official_source_verified,original_text_verified,location_verified,structured_fields_verified,gateway_tags_verified,verification_method,verification_evidence,final_status,review_note
EV-00011,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 신용정보법 시행령 제32조 제1항에서 동의 철회 방법 원문과 위치를 확인.,VERIFIED,공식 신용정보법 시행령 제32조 제1항에서 동의 철회 방법 원문과 위치를 확인.
EV-00012,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 신용정보법 시행령 제32조 제2항에서 마케팅 연락중지 청구 원문과 위치를 확인.,VERIFIED,공식 신용정보법 시행령 제32조 제2항에서 마케팅 연락중지 청구 원문과 위치를 확인.
EV-00013,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_credit_info_decree.html, law_credit_info_decree_article_32.html",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00014,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00015,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00016,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00017,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 개인정보 보호법 제26조 제2항 원문 확인 후 위탁 공개의무 범위로 구조화 필드 축소.,VERIFIED,공식 개인정보 보호법 제26조 제2항 원문 확인 후 위탁 공개의무 범위로 구조화 필드 축소.
EV-00018,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00019,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00020,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00021,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 개인정보 보호법 제28조의8 제1항 본문과 단서를 확인해 금지와 예외를 함께 유지.,VERIFIED,공식 개인정보 보호법 제28조의8 제1항 본문과 단서를 확인해 금지와 예외를 함께 유지.
EV-00022,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 개인정보 보호법 제28조의8 제1항 제1호 확인. 별도 동의에 따른 국외이전 예외로 태그 보정.,VERIFIED,공식 개인정보 보호법 제28조의8 제1항 제1호 확인. 별도 동의에 따른 국외이전 예외로 태그 보정.
EV-00023,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: law_pipa.html, law_pipa_articles_28_2_to_28_5.html, law_pipa_article_26.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00024,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 개인정보 보호법 제28조의8 제2항 고지 항목 1~5호 확인. 고지의무로 한정.,VERIFIED,공식 개인정보 보호법 제28조의8 제2항 고지 항목 1~5호 확인. 고지의무로 한정.
EV-00025,REVIEW_REQUIRED,N,N,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 기록된 admRulSeq=2100000282622 원문에 직접 접근하지 못해 기존 한글 깨짐과 조항 위치를 확정하지 않음.,REVIEW_REQUIRED,기록된 admRulSeq=2100000282622 원문에 직접 접근하지 못해 기존 한글 깨짐과 조항 위치를 확정하지 않음.
EV-00026,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: electronic_financial_supervision_regulation_current.html, electronic_financial_supervision_regulation_info_current.html, electronic_financial_supervision_regulation_article_14_current.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00027,REVIEW_REQUIRED,N,N,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 기록된 admRulSeq=2100000282622 원문에 직접 접근하지 못해 제14조 제6호 위치와 구조화 필드를 확정하지 않음.,REVIEW_REQUIRED,기록된 admRulSeq=2100000282622 원문에 직접 접근하지 못해 제14조 제6호 위치와 구조화 필드를 확정하지 않음.
EV-00028,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: electronic_financial_supervision_regulation_current.html, electronic_financial_supervision_regulation_info_current.html, electronic_financial_supervision_regulation_article_14_current.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00029,REVIEW_REQUIRED,N,N,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 정확한 행정규칙 원문 버전 접근이 되지 않아 제14조의2 세부목 위치와 해석을 확정하지 않음.,REVIEW_REQUIRED,정확한 행정규칙 원문 버전 접근이 되지 않아 제14조의2 세부목 위치와 해석을 확정하지 않음.
EV-00030,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: electronic_financial_supervision_regulation_current.html, electronic_financial_supervision_regulation_info_current.html, electronic_financial_supervision_regulation_article_14_current.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00031,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: electronic_financial_supervision_regulation_current.html, electronic_financial_supervision_regulation_info_current.html, electronic_financial_supervision_regulation_article_14_current.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00032,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: electronic_financial_supervision_regulation_current.html, electronic_financial_supervision_regulation_info_current.html, electronic_financial_supervision_regulation_article_14_current.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00033,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: electronic_financial_supervision_regulation_current.html, electronic_financial_supervision_regulation_info_current.html, electronic_financial_supervision_regulation_article_14_current.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00034,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"raw/official_sources: electronic_financial_supervision_regulation_current.html, electronic_financial_supervision_regulation_info_current.html, electronic_financial_supervision_regulation_article_14_current.html...",VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00035,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_ai_guideline_20260618.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00036,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_ai_guideline_20260618.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00037,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_ai_guideline_20260618.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00038,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_ai_guideline_20260618.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00039,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_ai_guideline_20260618.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00040,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_ai_guideline_20260618.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00041,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_ai_guideline_20260618.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00042,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_ai_guideline_20260618.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00043,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_saas_cloud_20260417.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00044,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 금융위원회 보도자료 본문에서 SaaS 금지와 가명정보 예외를 직접 확인.,VERIFIED,공식 금융위원회 보도자료 본문에서 SaaS 금지와 가명정보 예외를 직접 확인.
EV-00045,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,"review/review_log.csv; 공식 금융위원회 보도자료 본문에서 SaaS 평가, 단말 보호대책, 반기 평가ㆍ보고 의무를 확인.",VERIFIED,"공식 금융위원회 보도자료 본문에서 SaaS 평가, 단말 보호대책, 반기 평가ㆍ보고 의무를 확인."
EV-00046,REVIEW_REQUIRED,Y,Y,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 공식 FSC 게시글은 접근했으나 Evidence가 참조하는 PDF 5쪽 원문 위치를 직접 확인하지 못함.,REVIEW_REQUIRED,공식 FSC 게시글은 접근했으나 Evidence가 참조하는 PDF 5쪽 원문 위치를 직접 확인하지 못함.
EV-00047,REVIEW_REQUIRED,Y,Y,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 공식 FSC 게시글은 접근했으나 Evidence가 참조하는 PDF 6쪽 원문 위치를 직접 확인하지 못함.,REVIEW_REQUIRED,공식 FSC 게시글은 접근했으나 Evidence가 참조하는 PDF 6쪽 원문 위치를 직접 확인하지 못함.
EV-00048,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_saas_cloud_20260417.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00049,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,raw/official_sources: fsc_saas_cloud_20260417.pdf,VERIFIED,저장된 공식 원문 파일에서 source/original_text/location 및 필드/태그 앵커 확인
EV-00050,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 가상자산이용자보호법 제6조 제1항 원문 확인 후 예치금 분리관리 의무로 한정.,VERIFIED,공식 가상자산이용자보호법 제6조 제1항 원문 확인 후 예치금 분리관리 의무로 한정.
EV-00051,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 가상자산이용자보호법 제6조 제3항 원문 확인. 상계ㆍ압류 금지와 양도ㆍ담보 제한을 반영.,VERIFIED,공식 가상자산이용자보호법 제6조 제3항 원문 확인. 상계ㆍ압류 금지와 양도ㆍ담보 제한을 반영.
EV-00052,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 가상자산이용자보호법 시행령 제8조 제2항 원문 확인. 관리기관 계약 체결 의무로 한정.,VERIFIED,공식 가상자산이용자보호법 시행령 제8조 제2항 원문 확인. 관리기관 계약 체결 의무로 한정.
EV-00053,REVIEW_REQUIRED,Y,Y,Y,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00054,REVIEW_REQUIRED,Y,Y,Y,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00055,REVIEW_REQUIRED,Y,Y,Y,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.,REVIEW_REQUIRED,공식 법령 페이지에서 조문 텍스트는 확인했으나 Evidence의 2026-08-20 버전과 열람 원문 시행일이 달라 최종 확정하지 않음.
EV-00056,REVIEW_REQUIRED,N,N,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.,REVIEW_REQUIRED,기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.
EV-00057,REVIEW_REQUIRED,N,N,N,N,N,N,NOT_VERIFIABLE,review/review_log.csv; 기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.,REVIEW_REQUIRED,기록된 시행령 제10조의10 source_url 원문을 공식 페이지에서 직접 확인하지 못해 검증 보류.
EV-00058,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 금융위원회 정책자료에서 트래블룰 기준금액 삭제 및 해외 사업자ㆍ개인지갑 거래 AML 의무 문구 확인.,VERIFIED,공식 금융위원회 정책자료에서 트래블룰 기준금액 삭제 및 해외 사업자ㆍ개인지갑 거래 AML 의무 문구 확인.
EV-00059,VERIFIED,Y,Y,Y,Y,Y,Y,DIRECT_OFFICIAL_SOURCE,review/review_log.csv; 공식 금융정보분석원 CDD 안내 원문으로만 한글 깨짐을 복구하고 구조화 필드를 원문 의미로 제한.,VERIFIED,공식 금융정보분석원 CDD 안내 원문으로만 한글 깨짐을 복구하고 구조화 필드를 원문 의미로 제한.
